#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3239.83;0;152;0;2;0/3239.83;0/2433.54,1/2538.52;0/0;0/3239.83,1/3239.83;0/0;0/61,1/51;0/0;0/63,1/52;0/0;0/0,1/0;0/0;0/81,1/71;0/0;0/82,1/72
3299.99;0;156;0;2;0/3299.99;0/2474.07,1/2574.75;0/0;0/3299.99,1/3299.99;0/0;0/60,1/52;0/0;0/61,1/54;0/0;0/0,1/0;0/0;0/83,1/73;0/0;0/84,1/74
3359.95;0;159;0;2;0/3359.95;0/2524.11,1/2620.82;0/0;0/3359.95,1/3359.95;0/0;0/60,1/48;0/0;0/60,1/52;0/0;0/0,1/0;0/0;0/84,1/75;0/0;0/85,1/76
3419.61;0;163;0;2;0/3419.61;0/2583.77,1/2637.79;0/0;0/3419.61,1/3419.61;0/0;0/58,1/54;0/0;0/60,1/54;0/0;0/0,1/0;0/0;0/84,1/79;0/0;0/85,1/80
3479.94;0;165;0;2;0/3479.94;0/2624.34,1/2694.1;0/0;0/3479.94,1/3479.94;0/0;0/57,1/55;0/0;0/58,1/57;0/0;0/0,1/0;0/0;0/86,1/79;0/0;0/87,1/80
3539.83;0;169;0;2;0/3539.83;0/2664.46,1/2734.24;0/0;0/3539.83,1/3539.83;0/0;0/59,1/54;0/0;0/60,1/55;0/0;0/0,1/0;0/0;0/88,1/81;0/0;0/89,1/82
3599.82;0;172;0;2;0/3599.82;0/2714.49,1/2774.44;0/0;0/3599.82,1/3599.82;0/0;0/59,1/58;0/0;0/59,1/59;0/0;0/0,1/0;0/0;0/89,1/83;0/0;0/90,1/84
3659.98;0;174;0;2;0/3659.98;0/2774.65,1/2822.74;0/0;0/3659.98,1/3659.98;0/0;0/58,1/56;0/0;0/59,1/57;0/0;0/0,1/0;0/0;0/89,1/85;0/0;0/90,1/86
3719.97;0;176;0;2;0/3719.97;0/2825.54,1/2865.35;0/0;0/3719.97,1/3719.97;0/0;0/58,1/56;0/0;0/58,1/56;0/0;0/0,1/0;0/0;0/90,1/86;0/0;0/91,1/87
3779.72;0;176;0;2;0/3779.72;0/2884.4,1/2925.1;0/0;0/3779.72,1/3779.72;0/0;0/59,1/54;0/0;0/61,1/56;0/0;0/0,1/0;0/0;0/90,1/86;0/0;0/91,1/87
