#TimeStamp;Bot;Pod;OutputStation
3815.33;1;108;1
3817.03;3;52;0
3825.38;2;132;1
3827.41;4;169;0
3835.49;5;138;1
3842.21;1;108;0
3851.9;4;169;1
3852.28;1;108;0
3862.28;4;169;1
3862.44;0;136;0
3872.12;4;169;1
3872.53;5;138;0
3896.47;5;138;1
3906.8;5;138;1
3910.3;3;72;0
3916.75;2;34;1
3920.28;3;72;0
3930.12;3;72;0
3940.21;3;72;0
3944.01;1;12;1
3950.06;3;72;0
3954.29;1;12;1
3960.04;4;169;0
3964.24;1;12;1
3970.21;5;138;0
3974.27;1;12;1
3980.35;2;34;0
3984.23;3;72;1
3990.7;2;34;0
3994.45;4;169;1
4000.57;0;80;0
4004.37;4;169;1
4010.77;0;80;0
4014.6;5;138;1
4021.19;3;72;0
4025.02;5;138;1
4036.85;0;80;1
4046.91;3;72;1
4090.28;5;149;0
4105.82;1;39;0
4116.67;2;155;0
4126.56;4;133;0
4189.8;3;83;1
4205.06;2;68;1
4213.75;3;83;0
4215.07;1;100;1
4223.6;3;83;0
4224.97;0;112;1
4233.89;3;83;0
4234.77;5;34;1
4243.92;3;83;0
4244.8;4;86;1
4253.7;2;68;0
4263.56;1;100;0
4273.98;0;112;0
4300.04;0;112;1
4315.03;3;107;1
4331.03;1;41;0
4335.84;2;169;1
4341.09;3;107;0
4350.96;3;107;0
4355.07;1;41;1
4361.08;3;107;0
4371.15;5;60;0
4381.22;2;169;0
4386.74;0;108;1
4391.24;2;169;0
4397.15;0;108;1
4401.28;1;41;0
4406.89;0;108;1
4411.33;4;137;0
4416.79;0;108;1
4421.75;4;137;0
4427.18;0;108;1
4437.13;5;60;1
4447.27;2;169;1
4456.11;0;108;0
4457.45;1;41;1
4466.08;0;108;0
4467.45;1;41;1
4476.18;0;108;0
4477.72;3;132;1
4486.05;5;60;0
4487.87;3;132;1
4496.17;5;60;0
4498.18;4;137;1
4506.26;2;169;0
4508.29;4;137;1
4516.45;1;41;0
4523.64;5;60;1
