#TimeStamp;Bot;Pod;OutputStation
5255.52;2;40;1
5259.07;0;69;0
5265.6;2;40;1
5269.1;0;69;0
5275.65;2;40;1
5278.94;0;69;0
5285.91;2;40;1
5289.01;0;69;0
5296.03;2;40;1
5299.03;3;49;0
5306.26;2;40;1
5308.79;3;49;0
5316.05;2;40;1
5319.12;1;169;0
5326.28;2;40;1
5328.81;1;169;0
5336.31;2;40;1
5339.2;1;169;0
5346.03;2;40;1
5349.37;1;169;0
5356.11;2;40;1
5359.65;1;169;0
5366.09;2;40;1
5369.4;1;169;0
5376.07;2;40;1
5379.57;1;169;0
5386.38;2;40;1
5396.65;2;40;1
5406.49;2;40;1
5416.5;2;40;1
5426.8;2;40;1
5437.22;2;40;1
5447.67;2;40;1
5457.76;2;40;1
5467.43;2;40;1
5477.78;2;40;1
5487.74;2;40;1
5497.48;4;67;1
5507.67;4;67;1
5517.54;4;67;1
5527.76;4;67;1
5537.83;0;74;0
5537.83;4;67;1
5548.25;0;74;0
5548.25;4;67;1
5558.51;0;74;0
5558.51;4;67;1
5568.89;0;74;0
5568.89;4;67;1
5579.03;4;67;1
5579.31;0;74;0
5588.92;4;67;1
5589.65;0;74;0
5599.25;4;67;1
5600.07;0;74;0
5609.2;4;67;1
5610.29;0;74;0
5618.92;4;67;1
5620.49;0;74;0
5628.92;4;67;1
5630.91;0;74;0
5639.18;4;67;1
5641.13;0;74;0
5649.31;4;67;1
5651.55;0;74;0
5659.39;3;49;1
5661.41;0;74;0
5669.36;3;49;1
5671.52;0;74;0
5679.36;3;49;1
5681.77;0;74;0
5689.34;1;65;1
5691.62;0;74;0
5699.75;1;65;1
5701.75;0;74;0
5710;1;65;1
5711.4;0;74;0
5720;1;65;1
5721.48;0;74;0
5731.68;0;74;0
5741.71;0;74;0
5751.67;0;74;0
5761.83;0;74;0
5771.95;0;74;0
5780;2;30;1
5782.37;0;74;0
5790.26;2;30;1
5792.48;1;65;0
5800.3;2;30;1
5802.57;4;104;0
5810.16;2;30;1
5812.99;4;104;0
5820;2;30;1
5823.23;4;104;0
5830.35;0;74;1
5833.06;4;104;0
5840.11;0;74;1
5843.09;4;104;0
5850.08;1;65;1
5853.35;4;104;0
5860.39;1;65;1
5863.39;4;104;0
5873.44;4;104;0
5883.86;4;104;0
5894.06;4;104;0
5911.71;0;24;1
5921.75;0;24;1
5932.17;0;24;1
5942.22;0;24;1
5970.02;2;93;0
