#TimeStamp;BotsQueueing;TaskBotCounts
6659.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6719.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6779.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6839.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6899.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6959.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7019.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7079.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7139.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7199.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
