#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
2759.97;0;41;0;2;0/2759.97;0/118.98,1/1156.84;0/0;0/2759.97,1/2759.97;0/0;0/17,1/13;0/0;0/22,1/13;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/271,1/164
2819.97;0;43;0;2;0/2819.97;0/120,1/1216.46;0/0;0/2819.97,1/2819.97;0/0;0/12,1/12;0/0;0/16,1/12;0/0;0/0,1/0;0/0;0/25,1/18;0/0;0/277,1/165
2879.71;0;45;0;2;0/2879.71;0/120.96,1/1217.8;0/0;0/2879.71,1/2879.71;0/0;0/14,1/16;0/0;0/16,1/19;0/0;0/0,1/0;0/0;0/27,1/18;0/0;0/283,1/170
2939.8;0;46;0;2;0/2939.8;0/122.89,1/1219.34;0/0;0/2939.8,1/2939.8;0/0;0/19,1/13;0/0;0/21,1/16;0/0;0/0,1/0;0/0;0/28,1/18;0/0;0/289,1/176
2999.77;0;51;0;2;0/2999.77;0/124.29,1/1238.06;0/0;0/2999.77,1/2999.77;0/0;0/17,1/11;0/0;0/21,1/11;0/0;0/0,1/0;0/0;0/29,1/22;0/0;0/295,1/181
3059.99;0;52;0;2;0/3059.99;0/125.9,1/1240.06;0/0;0/3059.99,1/3059.99;0/0;0/20,1/13;0/0;0/23,1/14;0/0;0/0,1/0;0/0;0/30,1/22;0/0;0/301,1/187
3119.9;0;54;0;2;0/3119.9;0/127.38,1/1241.6;0/0;0/3119.9,1/3119.9;0/0;0/20,1/17;0/0;0/21,1/21;0/0;0/0,1/0;0/0;0/32,1/22;0/0;0/307,1/192
3179.77;0;55;0;2;0/3179.77;0/128.19,1/1244.56;0/0;0/3179.77,1/3179.77;0/0;0/19,1/16;0/0;0/20,1/21;0/0;0/0,1/0;0/0;0/33,1/22;0/0;0/312,1/198
3239.95;0;55;0;2;0/3239.95;0/129.52,1/1246.77;0/0;0/3239.95,1/3239.95;0/0;0/16,1/13;0/0;0/17,1/18;0/0;0/0,1/0;0/0;0/33,1/22;0/0;0/318,1/204
3299.58;0;55;0;2;0/3299.58;0/130.29,1/1247.87;0/0;0/3299.58,1/3299.58;0/0;0/12,1/11;0/0;0/14,1/15;0/0;0/0,1/0;0/0;0/33,1/22;0/0;0/324,1/210
3359.59;0;58;0;2;0/3359.59;0/131.67,1/1249.32;0/0;0/3359.59,1/3359.59;0/0;0/17,1/10;0/0;0/20,1/13;0/0;0/0,1/0;0/0;0/33,1/25;0/0;0/330,1/216
3419.62;0;60;0;2;0/3419.62;0/133.16,1/1251.86;0/0;0/3419.62,1/3419.62;0/0;0/20,1/12;0/0;0/24,1/14;0/0;0/0,1/0;0/0;0/33,1/27;0/0;0/336,1/222
3479.66;0;60;0;2;0/3479.66;0/134.18,1/1253.51;0/0;0/3479.66,1/3479.66;0/0;0/18,1/10;0/0;0/22,1/12;0/0;0/0,1/0;0/0;0/33,1/27;0/0;0/342,1/228
3539.68;0;60;0;2;0/3539.68;0/136.48,1/1255.9;0/0;0/3539.68,1/3539.68;0/0;0/19,1/12;0/0;0/23,1/14;0/0;0/0,1/0;0/0;0/33,1/27;0/0;0/348,1/234
3599.77;0;61;0;2;0/3599.77;0/138.03,1/1256.68;0/0;0/3599.77,1/3599.77;0/0;0/17,1/12;0/0;0/20,1/14;0/0;0/0,1/0;0/0;0/34,1/27;0/0;0/354,1/240
3659.65;0;63;0;2;0/3659.65;0/139.52,1/1259.19;0/0;0/3659.65,1/3659.65;0/0;0/16,1/17;0/0;0/21,1/17;0/0;0/0,1/0;0/0;0/34,1/29;0/0;0/360,1/246
3719.65;0;63;0;2;0/3719.65;0/141.33,1/1261.38;0/0;0/3719.65,1/3719.65;0/0;0/16,1/14;0/0;0/21,1/14;0/0;0/0,1/0;0/0;0/34,1/29;0/0;0/366,1/252
3779.75;0;63;0;2;0/3779.75;0/143.22,1/1264.35;0/0;0/3779.75,1/3779.75;0/0;0/18,1/15;0/0;0/23,1/15;0/0;0/0,1/0;0/0;0/34,1/29;0/0;0/372,1/258
3839.79;0;65;0;2;0/3839.79;0/144.67,1/1266.06;0/0;0/3839.79,1/3839.79;0/0;0/15,1/12;0/0;0/20,1/12;0/0;0/0,1/0;0/0;0/36,1/29;0/0;0/378,1/264
3899.96;0;68;0;2;0/3899.96;0/145.69,1/1307.02;0/0;0/3899.96,1/3899.96;0/0;0/14,1/14;0/0;0/20,1/14;0/0;0/0,1/0;0/0;0/38,1/30;0/0;0/384,1/265
3959.84;0;72;0;2;0/3959.84;0/147.02,1/1357.35;0/0;0/3959.84,1/3959.84;0/0;0/12,1/13;0/0;0/17,1/13;0/0;0/0,1/0;0/0;0/41,1/31;0/0;0/390,1/266
4019.97;0;76;0;2;0/4019.97;0/148.51,1/1417.32;0/0;0/4019.97,1/4019.97;0/0;0/11,1/13;0/0;0/14,1/13;0/0;0/0,1/0;0/0;0/45,1/31;0/0;0/396,1/266
4079.95;0;79;0;2;0/4079.95;0/150.29,1/1445.99;0/0;0/4079.95,1/4079.95;0/0;0/17,1/14;0/0;0/20,1/15;0/0;0/0,1/0;0/0;0/47,1/32;0/0;0/402,1/270
4139.84;0;80;0;2;0/4139.84;0/152.24,1/1448.12;0/0;0/4139.84,1/4139.84;0/0;0/20,1/15;0/0;0/24,1/15;0/0;0/0,1/0;0/0;0/47,1/33;0/0;0/408,1/276
