#TimeStamp;Bot;Pod;OutputStation
2635.67;1;69;0
2642.46;5;168;1
2646.04;1;69;0
2652.48;5;168;1
2656.04;1;69;0
2662.81;5;168;1
2666.04;1;69;0
2676.04;1;69;0
2685.73;1;69;0
2695.88;1;69;0
2706.09;1;69;0
2716.12;1;69;0
2726.23;1;69;0
2736.13;1;69;0
2746.14;1;69;0
2756.51;1;69;0
2766.83;1;69;0
2776.69;1;69;0
2786.59;1;69;0
2796.77;1;69;0
2806.79;0;111;0
2816.92;0;111;0
2819.32;1;69;1
2826.78;4;138;0
2829.59;1;69;1
2836.97;2;32;0
2839.89;1;69;1
2847.01;2;32;0
2850;1;69;1
2857.1;2;32;0
2860;1;69;1
2867.14;2;32;0
2870.13;1;69;1
2877.1;2;32;0
2880;1;69;1
2887.19;2;32;0
2890.13;1;69;1
2897.52;2;32;0
2900.17;1;69;1
2907.6;3;167;0
2910.52;1;69;1
2917.65;3;167;0
2920.26;1;69;1
2927.96;3;167;0
2930.26;1;69;1
2938.07;3;167;0
2940.42;1;69;1
2948.45;3;167;0
2950.32;0;111;1
2958.32;3;167;0
2960.42;4;138;1
2968.46;5;168;0
2978.51;5;168;0
2981.54;1;41;1
2988.53;5;168;0
2998.19;0;68;1
2998.66;5;168;0
3008.24;0;68;1
3008.93;5;168;0
3018.66;0;68;1
3019.12;5;168;0
3029.08;5;168;0
3029.08;0;68;1
3039.22;5;168;0
3039.22;0;68;1
3049.22;5;168;0
3049.22;0;68;1
3059.32;0;68;1
3059.36;2;83;0
3069.36;0;68;1
3069.48;2;83;0
3079.48;2;83;0
3079.48;0;68;1
3089.77;2;83;0
3089.77;0;68;1
3099.71;4;138;0
3099.71;0;68;1
3109.86;1;41;0
3109.9;0;68;1
3119.75;1;41;0
3120.32;0;68;1
3129.77;1;41;0
3130.32;0;68;1
3139.77;1;41;0
3140.42;0;68;1
3149.67;3;61;0
3150.74;0;68;1
3159.93;3;61;0
3160.84;0;68;1
3169.8;3;61;0
3170.84;0;68;1
3179.77;3;61;0
3180.8;0;68;1
3189.96;3;61;0
3190.84;0;68;1
3200;3;61;0
3201.16;0;68;1
3209.77;3;61;0
3211.3;0;68;1
3220;3;61;0
3221.3;0;68;1
3230.04;3;61;0
3231.3;0;68;1
3240.42;3;61;0
3241.58;0;68;1
3250.46;3;61;0
3251.77;0;68;1
3260.42;3;61;0
3261.77;0;68;1
3270.51;3;61;0
3271.77;0;68;1
3280.84;3;61;0
3281.65;0;68;1
3290.88;3;61;0
3291.77;0;68;1
3300.79;3;61;0
3301.81;5;168;1
3310.96;3;61;0
3311.86;2;83;1
3321.39;3;61;0
3321.81;2;83;1
3331.71;3;61;0
3332.01;4;138;1
3341.68;3;61;0
3342.05;4;138;1
3351.72;3;61;0
3352.23;4;138;1
3361.68;3;61;0
3362.23;4;138;1
3371.68;3;61;0
3372.47;1;41;1
3381.68;3;61;0
3382.89;1;41;1
3391.81;3;61;0
3393.07;1;41;1
3402.23;3;61;0
3403.03;5;69;1
3412.2;3;61;0
3413.31;5;69;1
3422.18;3;61;0
3423.57;5;69;1
3432.14;3;61;0
3433.73;5;69;1
3442.29;3;61;0
3443.78;5;69;1
3452.33;3;61;0
3454.2;5;69;1
3462.1;3;61;0
3464.48;5;69;1
3472.18;3;61;0
3474.48;5;69;1
3482.1;3;61;0
3484.62;5;69;1
3492.38;3;61;0
3495.04;5;69;1
3502.8;3;61;0
3505.32;5;69;1
3513.02;3;61;0
3515.46;5;69;1
3522.98;3;61;0
3525.88;5;69;1
3532.94;3;61;0
3536.12;5;69;1
3542.94;3;61;0
3546.16;5;69;1
3552.94;3;61;0
3556.16;5;69;1
3562.94;3;61;0
3566.22;5;69;1
3573.03;0;68;0
3576.26;5;69;1
3583.22;0;68;0
3586.64;5;69;1
3593.63;0;68;0
3596.68;5;69;1
3603.65;0;68;0
3606.74;4;138;1
3613.67;0;68;0
3616.76;4;138;1
3623.47;0;68;0
3626.76;4;138;1
3633.72;0;68;0
3636.81;3;61;1
3643.76;0;68;0
3647.16;3;61;1
3653.93;0;68;0
3657.23;3;61;1
3663.95;0;68;0
3667.23;3;61;1
3673.95;0;68;0
